isoform	TGPBS1	TGPBS2	TGPBS3	TGPBS4	TGOva1	TGOva2	TGOva3	TGOva4
transcript6613.chr3.nnic	1.98	2.77	4.09	1.29	1.05	1.0	0.72	1.16
transcript2155.chr16.nnic	0.0	0.3	0.0	0.21	0.0	0.0	0.31	0.0
transcript13887.chr11.nic	0.0	0.0	0.81	0.0	0.4	0.0	0.42	0.79
transcript17040.chr11.nnic	24.54	24.44	25.09	24.3	23.71	26.85	25.83	25.18
transcript6302.chr4.nic	0.78	0.0	0.92	0.0	0.0	0.0	0.75	0.29
transcript6304.chr4.nic	4.3	4.86	4.65	3.62	4.39	5.14	6.33	4.61
transcript6305.chr4.nnic	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0
transcript6311.chr4.nnic	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
transcript6316.chr4.nic	0.98	0.97	0.95	1.4	1.37	0.91	1.75	0.35
transcript6317.chr4.nnic	0.0	0.0	0.0	0.0	0.0	0.14	0.0	0.0
transcript7760.chr17.nnic	1.78	3.56	0.0	3.55	2.05	3.81	3.31	3.29
transcript7766.chr17.nic	0.85	1.51	4.19	2.2	7.53	4.16	2.25	4.97
transcript7784.chr17.nnic	5.55	8.43	7.24	6.6	5.77	6.53	7.68	6.71
transcript12074.chr7.nnic	0.41	1.31	1.72	0.68	2.1	0.0	0.77	1.31
transcript132.chrX.nnic	1.26	1.14	0.44	1.59	0.0	0.94	0.46	0.29
transcript135.chrX.nic	0.0	0.0	0.0	0.0	0.0	4.05	0.0	0.0
transcript13935.chr11.nic	0.0	0.99	2.5	0.52	0.31	1.27	0.0	0.0
transcript12689.chr5.nic	0.53	0.0	0.0	0.0	0.0	0.0	0.0	0.12
transcript3428.chr2.nnic	14.5	18.89	15.66	13.59	15.24	15.27	15.26	16.12
transcript14941.chr7.nnic	0.21	0.0	0.0	0.0	0.0	0.24	0.59	0.32
transcript14942.chr7.nnic	1.66	0.53	2.59	2.3	1.39	0.0	1.82	0.0
transcript3588.chrX.nnic	10.17	8.12	8.39	8.88	9.01	11.3	13.53	5.4
transcript1887.chr13.nnic	0.61	0.84	1.17	0.78	0.77	2.14	0.65	0.95
transcript9972.chr11.nnic	0.5	0.93	1.96	0.29	1.55	1.54	0.0	0.28
transcript4683.chr10.nic	0.0	1.21	1.23	0.0	1.2	1.51	1.9	0.0
transcript1310.chr10.nic	2.47	1.57	3.1	2.28	2.5	3.26	2.78	0.35
transcript2069.chr16.nic	0.96	0.15	1.89	1.98	2.46	3.07	0.06	0.0
transcript6970.chr3.nnic	1.69	1.59	1.13	3.82	0.0	7.14	3.74	4.51
transcript6971.chr3.nnic	0.0	0.0	0.0	0.0	1.41	0.0	0.0	0.0
transcript6973.chr3.nic	4.62	5.74	5.57	5.31	5.66	1.46	3.94	2.78
transcript1340.chrX.nnic	11.64	6.3	11.36	9.72	8.94	6.88	11.26	11.24
transcript1344.chrX.nic	10.85	10.74	5.9	10.91	8.87	8.74	10.89	8.78
transcript1428.chr11.nic	0.54	1.1	1.18	1.36	3.7	0.79	2.59	0.71
transcript1431.chr11.nic	8.8	10.35	10.28	7.64	6.79	9.62	7.87	9.14
